Title,Page
21. Section 410.152 is amended by adding paragraph (o) to read as follows:,1689
22. The authority citation for part 411 continues to read as follows:,1691
23. Section 411.15 is amended by revising paragraph (i)(3)(i)(A) to read as follows:,1691
24.  The authority citation for part 414 continues to read as follows:,1692
25. Section 414.84 is amended by—,1692
"a.  In paragraph (a), removing the definition of “Bridge payment”;",1692
b.  Revising paragraphs (b)(1) introductory text and (b)(2) introductory text;,1692
c.  Adding paragraph (c)(4);,1692
d.  Removing paragraph (d);,1692
e.  Redesignating paragraph (e) as paragraph (d); and,1692
f.  Revising newly redesignated paragraph (d).,1692
ection 414.502 is amended by revising the definitions of “Data collection period”,1693
27.  Section 414.504 is amended in paragraph (a)(1) by removing the reference “January,1694
28. Section 414.507 is amended by revising paragraphs (d) introductory text and (d)(7),1694
"29. Section 414.605 is amended in the definition of “Advanced life support, level 2",1694
31. Section 414.904 is amended by adding paragraph (e)(6) and revising paragraph (i) to,1696
32. Section 414.1001 is amended by—,1699
a. Revising paragraph (a);,1699
b. Removing paragraph (b);,1699
"c. Redesignating paragraphs (c) and (d) as paragraphs (b) and (c), respectively;",1699
"d. In newly redesignated paragraph (b)(2), removing “(c)(1)” and adding in its place",1699
33.  Section 414.1305 is amended in the definition of “Attribution-eligible beneficiary”,1700
34.  Section 414.1325 is amended by adding paragraphs (a)(1)(i) through (iii) and (f) to,1700
Section 414.1330 is amended by adding paragraph (c) to read as follows.,1702
36.  Section 414.1335 is amended by revising paragraph (a) introductory text and adding,1703
"37.  Section 414.1340 is amended by revising paragraphs (a)(4), (b)(4), (d) introductory",1703
38.  Section 414.1350 is amended by adding paragraph (e) to read as follows:,1704
39.  Section 414.1355 is amended by adding paragraph (d) to read as follows:,1704
41.  Section 414.1367 is amended by revising paragraph (c)(1) introductory text and,1708
42.  Section 414.1380 is amended by —,1709
a.  Revising paragraph (b)(1)(ii) introductory text;,1709
b.  Adding paragraphs (b)(1)(ii)(E) and (F);,1709
c.  Revising paragraph (b)(1)(iv)(B);,1709
d.  Adding paragraph (b)(1)(iv)(C);,1709
e.  Revising paragraph (b)(1)(vii) introductory text;,1709
f.  Adding paragraph (b)(1)(vii)(C);,1709
g.  Revising paragraph (b)(2) introductory text;,1709
paragraphs (b)(2)(i)(A) and (B) and (b)(2)(v)(B);,1709
i.  Revising paragraph (b)(3) introductory text; and,1709
j. Adding paragraphs (c)(2)(i)(A)(10) and (c)(2)(i)(C)(12).,1709
43. Section 414.1405 is amended by adding paragraph (b)(10) and revising paragraph (g),1714
44.  Section 414.1430 is amended by—,1715
a.  Revising paragraph (a)(1)(v);,1715
b.  Adding paragraph (a)(1)(vi);,1715
c.  Revising paragraph (a)(2)(v);,1715
d.  Adding paragraph (a)(2)(vi);,1715
e.  Revising paragraph (a)(3)(v);,1715
f.  Adding paragraph (a)(3)(vi);,1715
g.  Revising paragraph (a)(4)(v);,1715
h.  Adding paragraph (a)(4)(vi); and,1715
"i.  Revising paragraphs (b)(1)(i)(A) and (B), (b)(2)(i)(A) and (B), (b)(3)(i)(A) and (B),",1715
45.  Section 414.1450 is amended by revising paragraph (a)(1)(i) and the first sentence of,1717
46. The authority citation for part 423 continues to read as follows:,1717
is amended by revising paragraph (a)(5) introductory text to read as,1717
48.  The authority citation for part 424 continues to read as follows:,1718
"49. Section 424.24 is amended by revising paragraphs (c) heading, (c)(1)(i), and (c)(3)(ii)",1718
51.  The authority citation for part 425 continues to read as follows:,1721
52. Section 425.100 is amended by adding paragraph (e) to read as follows:,1721
53. Section 425.110 is amended by revising paragraph (b)(2) to read as follows:,1721
54. Section 425.202 is amended by revising paragraph (a)(3) to read as follows:,1721
55. Section 425.204 is amended by—,1722
a.  Revising paragraphs (f)(1) and (f)(3) introductory text;,1722
"b.  In paragraphs (f)(3)(iv), (f)(4)(iv)(A), and (f)(6)(ii) introductory text, removing the",1722
"c.  In paragraphs (f)(5) and (f)(6)(iv)(A), removing the phrase “shared losses owed” and",1722
osses” and adding in its place,1722
"e.  In paragraph (f)(6)(iv)(C), removing the phrase “owe any shared losses” and adding in",1722
56. Section 425.224 is amended by revising paragraph (a)(3) to read as follows:,1723
57. Section 425.304 is amended by adding paragraph (d) to read as follows:,1723
58. Section 425.308 is amended by adding paragraph (b)(10) to read as follows:,1723
59. Section 425.312 is amended by revising paragraphs (a)(2)(iii) and (a)(2)(v)(A) to read,1724
61. Section 425.316 is amended by adding paragraph (f) to read as follows:,1725
62. Section 425.400 is amended by revising paragraph (c)(1)(viii) introductory text and,1726
63. Section 425.402 is amended by revising paragraph (e)(2)(ii) introductory text and,1729
64. Section 425.508 is amended by revising paragraph (b) and adding paragraph (c) to,1730
65. Section 425.510 is amended by revising the section heading and paragraph (b) to read,1731
ction 425.512 is amended by—,1731
"a.  Revising paragraphs (a)(2)(iii), (a)(5)(i) introductory text, (a)(5)(i)(A) introductory",1731
b.  Revising and republishing paragraph (b);,1731
"c.  In paragraph (c)(3) introductory text, removing the phrase “via the APP” and adding",1731
"d.  In paragraph (c)(3)(iii), removing the phrase “and subsequent performance years”",1732
e.  Adding paragraph (c)(3)(iv).,1732
67. Section 425.601 is amended by revising paragraph (a)(9) introductory text and adding,1738
68. Section 425.605 is amended by revising paragraph (a)(1)(ii)(C) to read as follows:,1739
69. Section 425.610 is amended by revising paragraph (a)(2)(ii)(C) to read as follows:,1740
"a.  In paragraph (g)(3), removing the phrase “paragraphs (g)(4) of this section” and",1740
b.  Redesignating paragraph (g)(5) as paragraph (g)(7);,1740
c.  Adding new paragraph (g)(5) and paragraph (g)(6);,1740
g “or” at the end of the paragraph;,1741
"e.  In paragraph (h)(1)(iii), removing the period at the end of paragraph and adding “; or”",1741
f.  Adding paragraph (h)(1)(iv).,1741
71. Section 425.640 is added to read as follows:,1741
72. Section 425.650 is amended in paragraph (a) by removing the reference “425.660”,1751
73. Section 425.652 is amended by—,1751
a.  Revising paragraph (a)(8) and paragraph (a)(9) introductory text;,1751
"b.  Redesignating paragraphs (a)(9)(v) and (vi) as paragraphs (a)(9)(vi) and (vii),",1751
c.  Adding new paragraph (a)(9)(v);,1752
d.  Revising newly redesignated paragraph (a)(9)(vi); and,1752
e.  Adding paragraphs (a)(9)(viii) and (ix).,1752
74. Section 425.655 is amended by revising paragraph (d)(2) to read as follows:,1756
75. Section 425.658 by revising paragraph (d) to read as follows:,1756
76. Section 425.662 is added to read as follows:,1756
5.669 are added and reserved.,1758
78. Section 425.672 is added to read as follows:,1758
79. Section 425.674 is added to read as follows:,1761
81.  Part 428 is added to read as follows:,1798
82.  The authority citation for part 491 continues to read as follows:,1833
83.  Section 491.9 by—,1833
a.  Adding paragraphs (a)(2)(i) and (ii);,1833
b.  Removing paragraph (c)(2)(ii);,1833
"c.  Redesignating paragraphs (c)(2)(iii) through (vi) as paragraphs (c)(2)(ii) through (v),",1833
d. Revising newly designated paragraph (c)(2)(v).,1833
"L. R., D'Amico, T. A., DeCamp, M., Dilling, T. J., Dowell, J., Gettinger, S., Grotz, T. E., Gubens, M. A., Hegde, A.,",1838
"W. L., Hitchcock, Y. J., Jimeno, A., … Darlow, S. D. (2020). Head and Neck Cancers, Version 2.2020, NCCN Clinical",1838
1111. https://doi.org/10.1200/JCO.2017.76.0876.,1842
"W. V., Cooper, D., Frenck, R.",1846
a. Percentage of patients who,1881
b. Percentage of patients who,1881
A. Percentage of patients who,1903
b. Percentage of patients who,1903
a. Percentage of patients who,1907
b. Percentage of patients who,1907
a. Percentage of patients,1941
b. Percentage of patients,1941
a. Percentage of patients,1946
b. Percentage of patients,1946
a. Percentage of patients who,1960
b. Percentage of patients who,1960
a. Percentage of patients who,1962
b. Percentage of patients who,1962
18. https://doi.org/10.1016/j.mcna.2012.10.001.,2010
a. Percentage of patients who,2032
b. Percentage of patients who,2032
376. https://doi.org/10.1080/13825580902825220.,2069
a. Percentage of patients who remained on an antidepressant medication for at least 84 days (12,2100
b. Percentage of patients who remained on an antidepressant medication for at least 180 days (6,2100
(2013). Standardized Clinical Assessment and Management Plans (SCAMPs) Provide a Better Alternative to,2113
39. https://doi.org/10.15585/mmwr.rr7203a1.,2158
M. (2020). Computer-Tailored Decision Support Tool for Lung Cancer Screening: Community-Based Pilot,"2171) (accessed March 20, 2017)."
